,,ナビデータ中身
2019/11/10,12:01:11,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120110014
2019/11/10,12:01:12,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120111014
2019/11/10,12:01:13,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120112014
2019/11/10,12:01:14,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120113014
2019/11/10,12:01:15,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120114014
2019/11/10,12:01:16,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120115014
2019/11/10,12:01:17,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120116014
2019/11/10,12:01:18,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120117014
2019/11/10,12:01:19,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120118014
2019/11/10,12:01:21,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120119014
2019/11/10,12:01:21,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120120014
2019/11/10,12:01:22,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120121014
2019/11/10,12:01:23,CVGPSR003FB03000489000489037461793140293659+064000013341+00030120122014
2019/11/10,12:01:24,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120123014
2019/11/10,12:01:25,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120124014
2019/11/10,12:01:27,CVGPSR003FB03000489000489037461795140293659+064000013341+00030120125014
2019/11/10,12:01:27,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120126014
2019/11/10,12:01:28,CVGPSR003FB03000489000489037461795140293656+063000013341+00030120127014
2019/11/10,12:01:29,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120128014
2019/11/10,12:01:30,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120129014
2019/11/10,12:01:31,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120130014
2019/11/10,12:01:32,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120131014
2019/11/10,12:01:33,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120132014
2019/11/10,12:01:34,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120133014
2019/11/10,12:01:36,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120134014
2019/11/10,12:01:36,CVGPSR003FB03000489000489037461795140293656+064000013341+00030120135014
