,,ナビデータ中身
2019/11/10,12:01:11,CVNAVR103FB03000147000147037461650140293668+029000028728+00070120110008
2019/11/10,12:01:12,CVNAVR103FB03000147000147037461650140293668+029000028729+00070120111008
2019/11/10,12:01:13,CVNAVR103FB03000147000147037461650140293668+029000028729+00070120112008
2019/11/10,12:01:14,CVNAVR103FB03000147000147037461650140293668+029000028727+00070120113008
2019/11/10,12:01:15,CVNAVR103FB03000147000147037461650140293668+029000028725+00070120114008
2019/11/10,12:01:16,CVNAVR103FB03000147000147037461650140293668+029000028724+00070120115008
2019/11/10,12:01:18,CVNAVR103FB03000147000147037461650140293668+029000028723+00070120116008
2019/11/10,12:01:18,CVNAVR103FB03000147000147037461650140293668+029000028721+00070120117008
2019/11/10,12:01:19,CVNAVR103FB03000147000147037461650140293668+029000028720+00070120118008
2019/11/10,12:01:20,CVNAVR103FB03000147000147037461650140293668+029000028720+00070120119008
2019/11/10,12:01:21,CVNAVR103FB03000147000147037461650140293668+029000028720+00070120120008
2019/11/10,12:01:22,CVNAVR103FB03000147000147037461650140293668+029000028720+00070120121008
2019/11/10,12:01:24,CVNAVR103FB03000147000147037461650140293668+029000028720+00070120122008
2019/11/10,12:01:25,CVNAVR103FB03000147000147037461650140293668+029000028719+00070120123008
2019/11/10,12:01:27,CVNAVR103FB03000147000147037461650140293668+029000028717+00070120124008
2019/11/10,12:01:27,CVNAVR103FB03000147000147037461650140293668+029000028718+00070120125008
2019/11/10,12:01:27,CVNAVR103FB03000147000147037461650140293668+029000028716+00070120126008
2019/11/10,12:01:28,CVNAVR103FB03000147000147037461650140293668+029000028717+00070120127008
2019/11/10,12:01:29,CVNAVR103FB03000147000147037461650140293668+029000028714+00070120128008
2019/11/10,12:01:31,CVNAVR103FB03000147000147037461650140293668+029000028714+00070120129008
2019/11/10,12:01:31,CVNAVR103FB03000147000147037461650140293668+029000028713+00070120130008
2019/11/10,12:01:32,CVNAVR103FB03000147000147037461650140293668+029000028713+00070120131008
2019/11/10,12:01:33,CVNAVR103FB03000147000147037461650140293668+029000028713+00070120132008
2019/11/10,12:01:35,CVNAVR103FB03000147000147037461650140293668+029000028713+00070120133008
2019/11/10,12:01:35,CVNAVR103FB03000147000147037461650140293668+029000028712+00070120134008
2019/11/10,12:01:36,CVNAVR103FB03000147000147037461650140293668+029000028711+00070120135008
2019/11/10,12:01:37,CVNAVR103FB03000147000147037461650140293668+029000028710+00070120136008
2019/11/10,12:01:38,CVNAVR103FB03000147000147037461650140293668+029000028708+00070120137008
2019/11/10,12:01:39,CVNAVR103FB03000147000147037461650140293668+029000028708+00070120138008
2019/11/10,12:01:40,CVNAVR103FB03000147000147037461650140293668+029000028706+00070120139008
2019/11/10,12:01:41,CVNAVR103FB03000147000147037461650140293668+029000028705+00070120140008
2019/11/10,12:01:42,CVNAVR103FB03000147000147037461650140293668+029000028703+00070120141008
2019/11/10,12:01:44,CVNAVR103FB03000147000147037461650140293668+029000028701+00070120142008
2019/11/10,12:01:44,CVNAVR103FB03000147000147037461650140293668+029000028699+00070120143008
2019/11/10,12:01:45,CVNAVR103FB03000147000147037461650140293668+029000028696+00070120144008
2019/11/10,12:01:46,CVNAVR103FB03000147000147037461650140293668+029000028693+00070120145008
2019/11/10,12:01:47,CVNAVR103FB03000147000147037461650140293668+029000028691+00070120146008
2019/11/10,12:01:49,CVNAVR103FB03000147000147037461650140293668+029000028689+00070120147008
2019/11/10,12:01:49,CVNAVR103FB03000147000147037461650140293668+029000028685+00070120148008
2019/11/10,12:01:50,CVNAVR103FB03000147000147037461650140293668+029000028684+00070120149008
2019/11/10,12:01:58,CVNAVR103FB03000147000147037461650140293668+029000028682+00070120150008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028679+00070120152008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028670+00070120154008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028664+00070120157008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028666+00070120156008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028669+00070120155008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028680+00070120151008
2019/11/10,12:01:59,CVNAVR103FB03000147000147037461650140293668+029000028674+00070120153008
2019/11/10,12:02:00,CVNAVR103FB03000147000147037461650140293668+029000028662+00070120158008
2019/11/10,12:02:01,CVNAVR103FB03000147000147037461650140293668+029000028658+00070120159008
2019/11/10,12:02:01,CVNAVR103FB03000147000147037461650140293668+029000028657+00070120200008
2019/11/10,12:02:03,CVNAVR103FB03000147000147037461650140293668+029000028655+00070120201008
2019/11/10,12:02:07,CVNAVR103FB03000147000147037461650140293668+029000028654+00070120202008
2019/11/10,12:02:07,CVNAVR103FB03000147000147037461650140293668+029000028651+00070120203008
2019/11/10,12:02:07,CVNAVR103FB03000147000147037461650140293668+029000028644+00070120206008
2019/11/10,12:02:07,CVNAVR103FB03000147000147037461650140293668+029000028647+00070120205008
2019/11/10,12:02:07,CVNAVR103FB03000147000147037461650140293668+029000028649+00070120204008
2019/11/10,12:02:08,CVNAVR103FB03000147000147037461650140293668+029000028642+00070120207008
2019/11/10,12:02:09,CVNAVR103FB03000147000147037461650140293668+029000028641+00070120208008
2019/11/10,12:02:10,CVNAVR103FB03000147000147037461650140293668+029000028638+00070120209008
2019/11/10,12:02:11,CVNAVR103FB03000147000147037461650140293668+029000028638+00070120210008
2019/11/10,12:02:12,CVNAVR103FB03000147000147037461650140293668+029000028635+00070120211008
2019/11/10,12:02:13,CVNAVR103FB03000147000147037461650140293668+029000028633+00070120212008
2019/11/10,12:02:14,CVNAVR103FB03000147000147037461650140293668+029000028630+00070120213008
2019/11/10,12:02:15,CVNAVR103FB03000147000147037461650140293668+029000028629+00070120214008
2019/11/10,12:02:17,CVNAVR103FB03000147000147037461650140293668+029000028627+00070120215008
2019/11/10,12:02:17,CVNAVR103FB03000147000147037461650140293668+029000028623+00070120216008
