,,ナビデータ中身
2019/11/10,12:01:11,CVGPSR001FC01000510000470037461918140293368+067000030271-04070120110114
2019/11/10,12:01:12,CVGPSR001FC01000510000470037461918140293368+067000030271-04070120111114
2019/11/10,12:01:13,CVGPSR001FC01000510000470037461918140293368+067000030272-04070120112114
2019/11/10,12:01:14,CVGPSR001FC01000510000470037461918140293368+067000030272-04070120113114
2019/11/10,12:01:15,CVGPSR001FC01000510000470037461918140293368+067000030271-04070120114114
2019/11/10,12:01:16,CVGPSR001FC01000510000470037461918140293368+067000030270-04070120115114
2019/11/10,12:01:17,CVGPSR001FC01000510000470037461918140293368+067000030269-04070120116114
2019/11/10,12:01:18,CVGPSR001FC01000510000470037461918140293368+067000030269-04070120117114
2019/11/10,12:01:19,CVGPSR001FC01000510000470037461918140293368+067000030268-04070120118114
2019/11/10,12:01:20,CVGPSR001FC01000510000470037461918140293368+067000030268-04070120119114
2019/11/10,12:01:21,CVGPSR001FC01000510000470037461918140293368+067000030267-04070120120114
2019/11/10,12:01:22,CVGPSR001FC01000510000470037461918140293368+067000030268-04070120121114
2019/11/10,12:01:23,CVGPSR001FC01000510000470037461918140293368+067000030270-04070120122114
2019/11/10,12:01:25,CVGPSR001FC01000510000470037461918140293368+067000030270-04070120123114
2019/11/10,12:01:25,CVGPSR001FC01000510000470037461918140293368+067000030268-04070120124114
2019/11/10,12:01:26,CVGPSR001FC01000510000470037461918140293368+067000030266-04070120125114
2019/11/10,12:01:27,CVGPSR001FC01000510000470037461918140293368+067000030267-04070120126114
2019/11/10,12:01:28,CVGPSR001FC01000510000470037461918140293368+067000030265-04070120127114
2019/11/10,12:01:29,CVGPSR001FC01000510000470037461918140293368+067000030267-04070120128114
2019/11/10,12:01:30,CVGPSR001FC01000510000470037461918140293368+067000030266-04070120129114
2019/11/10,12:01:31,CVGPSR001FC01000510000470037461918140293368+067000030263-04070120130114
2019/11/10,12:01:32,CVGPSR001FC01000510000470037461918140293368+067000030262-04070120131114
2019/11/10,12:01:33,CVGPSR001FC01000510000470037461918140293368+067000030263-04070120132114
2019/11/10,12:01:34,CVGPSR001FC01000510000470037461918140293368+067000030263-04070120133114
2019/11/10,12:01:35,CVGPSR001FC01000510000470037461918140293368+067000030262-04070120134114
2019/11/10,12:01:36,CVGPSR001FC01000510000470037461918140293368+067000030260-04070120135114
2019/11/10,12:01:37,CVGPSR001FC01000510000470037461918140293368+067000030259-04070120136114
2019/11/10,12:01:38,CVGPSR001FC01000510000470037461918140293368+067000030257-04070120137114
2019/11/10,12:01:39,CVGPSR001FC01000510000470037461918140293368+067000030258-04070120138114
2019/11/10,12:01:40,CVGPSR001FC01000510000470037461918140293368+067000030257-04070120139114
2019/11/10,12:01:41,CVGPSR001FC01000510000470037461918140293368+067000030256-04070120140114
2019/11/10,12:01:42,CVGPSR001FC01000510000470037461918140293368+067000030255-04070120141114
2019/11/10,12:01:43,CVGPSR001FC01000510000470037461918140293368+067000030255-04070120142114
2019/11/10,12:01:44,CVGPSR001FC01000510000470037461918140293368+067000030257-04070120143114
2019/11/10,12:01:45,CVGPSR001FC01000510000470037461918140293368+067000030256-04070120144114
2019/11/10,12:01:46,CVGPSR001FC01000510000470037461918140293368+067000030254-04070120145114
2019/11/10,12:01:47,CVGPSR001FC01000510000470037461918140293368+067000030252-04070120146114
2019/11/10,12:01:48,CVGPSR001FC01000510000470037461918140293368+067000030252-04070120147114
2019/11/10,12:01:49,CVGPSR001FC01000510000470037461918140293368+067000030253-04070120148114
2019/11/10,12:01:50,CVGPSR001FC01000510000470037461918140293368+067000030251-04070120149114
2019/11/10,12:01:51,CVGPSR001FC01000510000470037461918140293368+067000030252-04070120150114
2019/11/10,12:01:52,CVGPSR001FC01000510000470037461918140293368+067000030251-04070120151114
