,,ナビデータ中身
2019/11/10,12:01:12,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120110107
2019/11/10,12:01:13,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120111107
2019/11/10,12:01:14,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120112107
2019/11/10,12:01:15,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120113108
2019/11/10,12:01:16,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120114108
2019/11/10,12:01:17,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120115108
2019/11/10,12:01:18,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120116108
2019/11/10,12:01:19,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120117107
2019/11/10,12:01:20,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120118107
2019/11/10,12:01:21,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120119107
2019/11/10,12:01:22,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120120107
2019/11/10,12:01:23,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120121108
2019/11/10,12:01:25,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120122108
2019/11/10,12:01:25,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120123108
2019/11/10,12:01:26,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120124108
2019/11/10,12:01:27,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120125107
2019/11/10,12:01:28,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120126108
2019/11/10,12:01:29,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120127107
2019/11/10,12:01:30,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120128107
2019/11/10,12:01:31,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120129107
2019/11/10,12:01:32,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120130107
2019/11/10,12:01:33,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120131107
2019/11/10,12:01:34,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120132107
2019/11/10,12:01:35,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120133107
2019/11/10,12:01:36,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120134107
2019/11/10,12:01:37,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120135107
2019/11/10,12:01:38,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120136107
2019/11/10,12:01:39,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120137107
2019/11/10,12:01:40,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120138107
2019/11/10,12:01:41,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120139108
2019/11/10,12:01:42,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120140108
2019/11/10,12:01:43,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120141108
2019/11/10,12:01:44,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120142108
2019/11/10,12:01:45,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120143108
2019/11/10,12:01:46,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120144108
2019/11/10,12:01:47,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120145108
2019/11/10,12:01:48,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120146107
2019/11/10,12:01:49,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120147108
2019/11/10,12:01:50,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120148108
2019/11/10,12:01:51,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120149108
2019/11/10,12:01:52,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120150108
2019/11/10,12:01:53,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120151107
2019/11/10,12:01:54,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120152107
2019/11/10,12:01:55,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120153107
2019/11/10,12:01:56,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120154107
2019/11/10,12:01:57,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120155107
2019/11/10,12:01:58,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120156107
2019/11/10,12:01:59,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120157107
2019/11/10,12:02:00,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120158107
2019/11/10,12:02:01,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120159107
2019/11/10,12:02:02,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120200107
2019/11/10,12:02:03,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120201107
2019/11/10,12:02:04,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120202107
2019/11/10,12:02:05,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120203107
2019/11/10,12:02:06,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120204107
2019/11/10,12:02:07,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120205107
2019/11/10,12:02:08,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120206107
2019/11/10,12:02:09,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120207107
2019/11/10,12:02:10,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120208107
2019/11/10,12:02:11,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120209107
2019/11/10,12:02:12,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120210107
