,,ナビデータ中身
2019/11/10,12:01:11,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120110114
2019/11/10,12:01:12,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120111114
2019/11/10,12:01:13,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120112114
2019/11/10,12:01:14,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120113114
2019/11/10,12:01:15,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120114114
2019/11/10,12:01:16,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120115114
2019/11/10,12:01:17,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120116114
2019/11/10,12:01:18,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120117114
2019/11/10,12:01:19,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120118114
2019/11/10,12:01:20,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120119114
2019/11/10,12:01:21,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120120114
2019/11/10,12:01:22,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120121114
2019/11/10,12:01:23,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120122114
2019/11/10,12:01:24,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120123114
2019/11/10,12:01:25,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120124114
2019/11/10,12:01:26,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120125114
2019/11/10,12:01:27,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120126114
2019/11/10,12:01:28,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120127114
2019/11/10,12:01:29,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120128114
2019/11/10,12:01:30,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120129114
2019/11/10,12:01:31,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120130114
2019/11/10,12:01:32,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120131114
