,,ナビデータ中身
2019/11/10,12:01:10,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120109007
2019/11/10,12:01:11,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120110007
2019/11/10,12:01:12,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120111007
2019/11/10,12:01:13,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120112007
2019/11/10,12:01:14,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120113007
2019/11/10,12:01:15,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120114007
2019/11/10,12:01:16,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120115007
2019/11/10,12:01:17,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120116007
2019/11/10,12:01:18,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120117007
2019/11/10,12:01:19,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120118007
2019/11/10,12:01:20,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120119007
2019/11/10,12:01:21,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120120007
2019/11/10,12:01:22,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120121007
2019/11/10,12:01:23,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120122007
2019/11/10,12:01:24,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120123007
2019/11/10,12:01:25,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120124007
2019/11/10,12:01:26,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120125007
2019/11/10,12:01:27,CVNAVR102FC02000000-00015037461946140293646+067000014796-01570120126007
2019/11/10,12:01:28,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120127007
2019/11/10,12:01:29,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120128007
2019/11/10,12:01:30,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120129007
2019/11/10,12:01:31,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120130007
2019/11/10,12:01:32,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120131007
2019/11/10,12:01:33,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120132007
2019/11/10,12:01:34,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120133007
2019/11/10,12:01:35,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120134007
2019/11/10,12:01:36,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120135007
2019/11/10,12:01:37,CVNAVR102FC02000000-00015037461946140293646+068000014796-01570120136007
2019/11/10,12:01:38,CVNAVR102FC02000000-00015037461946140293646+069000014796-01570120137007
2019/11/10,12:01:39,CVNAVR102FC02000000-00015037461946140293646+069000014796-01570120138007
2019/11/10,12:01:40,CVNAVR102FC02000000-00015037461946140293646+069000014796-01570120139007
2019/11/10,12:01:41,CVNAVR102FC02000000-00015037461946140293646+069000014796-01570120140007
2019/11/10,12:01:42,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120141007
2019/11/10,12:01:43,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120142007
2019/11/10,12:01:44,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120143007
2019/11/10,12:01:45,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120144007
2019/11/10,12:01:46,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120145007
2019/11/10,12:01:47,CVNAVR102FC02000000-00015037461946140293646+070000014796-01570120146007
2019/11/10,12:01:48,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120147007
2019/11/10,12:01:49,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120148007
2019/11/10,12:01:50,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120149007
2019/11/10,12:01:51,CVNAVR102FC02000000-00015037461946140293646+071000014796-01570120150007
2019/11/10,12:01:52,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120151007
2019/11/10,12:01:53,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120152007
2019/11/10,12:01:54,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120153007
2019/11/10,12:01:55,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120154007
2019/11/10,12:01:56,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120155007
2019/11/10,12:01:57,CVNAVR102FC02000000-00015037461946140293646+072000014796-01570120156007
